"","support_acc_Victor_vanilla_over_n","support_acc_backward_over_n","deviations_Victor_vanilla_hybrid_over_n","deviations_SP_hybrid_over_n","thickness_Victor_vanilla_over_n","thickness_backward_over_n","cover_some_best_vanilla_over_n","cover_some_best_backward_over_n","cover_min_vanilla_over_n","cover_min_backward_over_n","backward_superset_over_n","backward_subset_over_n","backward_equal_over_n","lasso_superset_over_n","lasso_subset_over_n","lasso_equal_over_n","nobs_list","nsim","ncomb","c"
"1",0.415857142857143,0.400996031746032,0.413149644932476,0.387953792926865,0.5575,0.62,0.88,0.94,0.77,0.86,0.03,0.25,0.03,0.01,0.31,0,1000,20,5,0.4
"2",0.44825,0.418265873015873,0.328311466013119,0.266842640718319,0.555,0.625,0.89,0.97,0.77,0.88,0.03,0.33,0.03,0.01,0.39,0.01,1292,20,5,0.4
"3",0.462833333333333,0.512948412698413,0.200020217134582,0.244146199289214,0.665,0.645,0.9,0.92,0.84,0.87,0.02,0.49,0.07,0.03,0.34,0.01,1668,20,5,0.4
"4",0.474095238095238,0.540880952380952,0.183021380837444,0.190491002922006,0.665,0.675,0.95,0.97,0.88,0.96,0.01,0.51,0.1,0.01,0.34,0,2154,20,5,0.4
"5",0.513761904761905,0.590761904761905,0.124114102602054,0.144088454229649,0.7025,0.6875,0.98,0.99,0.89,0.94,0,0.61,0.08,0.06,0.33,0.02,2783,20,5,0.4
"6",0.49859595959596,0.659,0.135745753104098,0.14273413372824,0.735,0.74,0.97,0.99,0.9,0.99,0,0.63,0.19,0.05,0.31,0,3594,20,5,0.4
"7",0.550984126984127,0.68,0.0781547162636354,0.0672610865217779,0.83,0.705,1,1,0.93,0.98,0,0.7,0.17,0.12,0.24,0.07,4642,20,5,0.4
"8",0.556269841269841,0.678095238095238,0.0710610445593675,0.0712811588654232,0.81,0.74,1,1,0.93,1,0,0.73,0.16,0.19,0.27,0.03,5995,20,5,0.4
"9",0.584547619047619,0.679166666666667,0.0421351424847382,0.0533430410504556,0.82,0.73,1,1,0.96,1,0,0.78,0.13,0.17,0.22,0.12,7743,20,5,0.4
"10",0.58927380952381,0.696666666666667,0.0382252163471767,0.0478158160746226,0.81,0.73,1,1,0.95,1,0,0.81,0.16,0.26,0.21,0.1,10000,20,5,0.4
